Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0A953	FABB_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.41) (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I) (KAS I)	fabB fabC b2323 JW2320	Escherichia coli (strain K12)	406
P42829	INHA_MYCS2	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (Enoyl-ACP reductase) (EC 1.3.1.9) (FAS-II enoyl-ACP reductase) (NADH-dependent 2-trans-enoyl-ACP reductase)	inhA MSMEG_3151 MSMEI_3070	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	269
P36204	PGKT_THEMA	reviewed	Bifunctional PGK/TIM [Includes: Phosphoglycerate kinase (EC 2.7.2.3); Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)]	pgk/tpi TM_0689	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	654
B7HLI3	ACP_BACC7	reviewed	Acyl carrier protein (ACP)	acpP BCAH187_A3898	Bacillus cereus (strain AH187)	77
A4SCL1	ACP_CHLPM	reviewed	Acyl carrier protein (ACP)	acpP Cvib_0197	Chlorobium phaeovibrioides (strain DSM 265 / 1930) (Prosthecochloris vibrioformis (strain DSM 265))	78
A2BTJ0	ACP_PROMS	reviewed	Acyl carrier protein (ACP)	acpP A9601_18181	Prochlorococcus marinus (strain AS9601)	79
A1VEK3	ACP_DESVV	reviewed	Acyl carrier protein (ACP)	acpP Dvul_1852	Desulfovibrio vulgaris subsp. vulgaris (strain DP4)	76
B9KQD1	ACP_RHOSK	reviewed	Acyl carrier protein (ACP)	acpP RSKD131_0778	Rhodobacter sphaeroides (strain KD131 / KCTC 12085)	77
Q2IX87	ACP_RHOP2	reviewed	Acyl carrier protein (ACP)	acpP RPB_2468	Rhodopseudomonas palustris (strain HaA2)	79
P12784	ACP_RHOSH	reviewed	Acyl carrier protein (ACP)	acpP	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	70
Q39V90	ACP_GEOMG	reviewed	Acyl carrier protein (ACP)	acpP Gmet_1602	Geobacter metallireducens (strain GS-15 / ATCC 53774 / DSM 7210)	77
Q32DM0	ACCD_SHIDS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SDY_2515	Shigella dysenteriae serotype 1 (strain Sd197)	304
B8F7C3	ACP_HAEPS	reviewed	Acyl carrier protein (ACP)	acpP HAPS_1687	Haemophilus parasuis serovar 5 (strain SH0165) (Glaesserella parasuis)	76
B8ESN3	ACCD_METSB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Msil_1403	Methylocella silvestris (strain DSM 15510 / CIP 108128 / LMG 27833 / NCIMB 13906 / BL2)	288
B0UNZ6	ACP_METS4	reviewed	Acyl carrier protein (ACP)	acpP M446_3198	Methylobacterium sp. (strain 4-46)	78
Q7V839	ACCD_PROMM	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD PMT_0534	Prochlorococcus marinus (strain MIT 9313)	293
B9DMJ0	ACPS_STACT	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Sca_1577	Staphylococcus carnosus (strain TM300)	117
B3QQR6	ACCA_CHLP8	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Cpar_1877	Chlorobaculum parvum (strain NCIB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum (strain DSM 263 / NCIB 8327))	336
P0A2W6	ACPS_STRPN	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SP_1699	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	120
B1Z872	ACPS_METPB	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Mpop_2230	Methylobacterium populi (strain ATCC BAA-705 / NCIMB 13946 / BJ001) (Methylorubrum populi)	136
Q54766	ACCA_SYNE7	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Synpcc7942_1595 sec0029	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)	327
Q8ZH52	ACCA_YERPE	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA YPO1060 y3119 YP_2790	Yersinia pestis	319
Q9KDS9	ACCC_BACHD	reviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	accC BH1132	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	452
P43873	ACCC_HAEIN	reviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	accC HI_0972	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	448
B9JUU8	ACP_AGRVS	reviewed	Acyl carrier protein (ACP)	acpP Avi_1530	Agrobacterium vitis (strain S4 / ATCC BAA-846) (Rhizobium vitis (strain S4))	78
Q6N6C3	ACPS_RHOPA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS RPA2695	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	146
Q9A807	ACPS_CAUVC	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CC_1558	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	133
Q9PPY4	ACPH_UREPA	reviewed	Acyl carrier protein homolog (ACP)	UU506	Ureaplasma parvum serovar 3 (strain ATCC 700970)	77
A6TAW6	FADR_KLEP7	reviewed	Fatty acid metabolism regulator protein	fadR KPN78578_22760 KPN_02311	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	239
A2BQ15	ACCA_PROMS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA A9601_05901	Prochlorococcus marinus (strain AS9601)	335
Q8XA39	ACPS_ECO57	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS dpj Z3844 ECs3429	Escherichia coli O157:H7	126
B7NRL6	ACPS_ECO7I	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS ECIAI39_2768	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	126
Q5LME7	ACCA_RUEPO	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SPO3616	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) (Silicibacter pomeroyi)	320
Q49YC9	ACCA_STAS1	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SSP1067	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	314
B1IUA5	FADR_ECOLC	reviewed	Fatty acid metabolism regulator protein	fadR EcolC_2438	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks)	239
A9MJ36	FADI_SALAR	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI SARI_00510	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	436
A8A771	FABR_ECOHS	reviewed	HTH-type transcriptional repressor FabR	fabR EcHS_A4197	Escherichia coli O9:H4 (strain HS)	215
Q8ZNA6	FADI_SALTY	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI STM2389	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	436
Q8Z4Y9	FADI_SALTI	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI STY2621 t0475	Salmonella typhi	436
A9MHG9	FABR_SALAR	reviewed	HTH-type transcriptional repressor FabR	fabR SARI_03536	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	210
Q6LPG9	FABV1_PHOPR	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] 1 (ENR 1) (EC 1.3.1.9)	fabV1 PBPRA2423	Photobacterium profundum (strain SS9)	400
B2TWV5	FADI_SHIB3	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI SbBS512_E2722	Shigella boydii serotype 18 (strain CDC 3083-94 / BS512)	436
Q8Z685	FADR_SALTI	reviewed	Fatty acid metabolism regulator protein	fadR STY1934 t1072	Salmonella typhi	239
A3DDY8	ACP_CLOTH	reviewed	Acyl carrier protein (ACP)	acpP Cthe_0933	Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Ruminiclostridium thermocellum)	74
A1WY04	ACCD_HALHL	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Hhal_1802	Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	336
Q9RT27	ACP_DEIRA	reviewed	Acyl carrier protein (ACP)	acpP DR_1942	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	76
A1WMX2	ACP_VEREI	reviewed	Acyl carrier protein (ACP)	acpP Veis_3249	Verminephrobacter eiseniae (strain EF01-2)	79
B3PBR5	ACCA_CELJU	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA CJA_1129	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	315
C5CSF9	ACPS_VARPS	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Vapar_1406	Variovorax paradoxus (strain S110)	130
B7UJ86	ACCA_ECO27	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA E2348C_0190	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	319
B1JRD1	ACPS_YERPY	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS YPK_1193	Yersinia pseudotuberculosis serotype O:3 (strain YPIII)	126
Q7M9W3	ACCA_WOLSU	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA WS0628	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	311
Q2P4C1	ACCA_XANOM	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA XOO1851	Xanthomonas oryzae pv. oryzae (strain MAFF 311018)	319
B8HCG9	ACPS_PSECP	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Achl_2620	Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus)	115
P80917	ACP_ALCFA	reviewed	Acyl carrier protein (ACP) (Fragment)	acpP	Alcaligenes faecalis	25
Q47EF3	ACPS_DECAR	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Daro_2033	Dechloromonas aromatica (strain RCB)	125
Q15WE7	ACCA_PSEA6	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Patl_1265	Pseudoalteromonas atlantica (strain T6c / ATCC BAA-1087)	318
A8GID0	ACCA_SERP5	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Spro_3774	Serratia proteamaculans (strain 568)	319
Q32JS4	ACCA_SHIDS	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SDY_0201	Shigella dysenteriae serotype 1 (strain Sd197)	319
B5EI15	ACPS_GEOBB	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Gbem_1260	Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)	125
C4K8H4	ACPS_HAMD5	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS HDEF_2292	Hamiltonella defensa subsp. Acyrthosiphon pisum (strain 5AT)	126
Q7NE72	ACPS_GLOVI	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS glr4008	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)	132
A2RLV5	ACPS_LACLM	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS llmg_1705	Lactococcus lactis subsp. cremoris (strain MG1363)	119
B2GA64	ACPS_LACF3	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS LAF_0210	Lactobacillus fermentum (strain NBRC 3956 / LMG 18251)	119
Q0APC3	ACPS_MARMM	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Mmar10_1572	Maricaulis maris (strain MCS10)	142
Q8Y8L2	ACPS_LISMO	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS lmo0885	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	118
C1KWA9	FAPR_LISMC	reviewed	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR Lm4b_01826	Listeria monocytogenes serotype 4b (strain CLIP80459)	189
A1AIE5	FABR_ECOK1	reviewed	HTH-type transcriptional repressor FabR	fabR Ecok1_39410 APECO1_2500	Escherichia coli O1:K1 / APEC	215
B5F4E2	FADR_SALA4	reviewed	Fatty acid metabolism regulator protein	fadR SeAg_B1328	Salmonella agona (strain SL483)	239
A7FD11	FABR_YERP3	reviewed	HTH-type transcriptional repressor FabR	fabR YpsIP31758_0139	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	211
A9MVW4	FADR_SALPB	reviewed	Fatty acid metabolism regulator protein	fadR SPAB_01413	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	239
Q083H2	FADR_SHEFN	reviewed	Fatty acid metabolism regulator protein	fadR Sfri_1743	Shewanella frigidimarina (strain NCIMB 400)	239
Q8ZD46	FADI_YERPE	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI YPO2746 y1579 YP_2418	Yersinia pestis	436
Q8EG14	FABV_SHEON	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9)	fabV SO_1800	Shewanella oneidensis (strain MR-1)	400
O69473	FAB2_MYCLE	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase 2) (KAS 2)	kasB ML1656 MLCB1243.19c	Mycobacterium leprae (strain TN)	420
A1JK30	FADJ_YERE8	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ faoA YE1277	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	745
C4L5Z0	FAPR_EXISA	reviewed	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR EAT1b_2882	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	189
B6ELS3	FABA_ALISL	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA VSAL_I1556	Aliivibrio salmonicida (strain LFI1238) (Vibrio salmonicida (strain LFI1238))	172
Q1LT61	FABA_BAUCH	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA BCI_0410	Baumannia cicadellinicola subsp. Homalodisca coagulata	173
Q1C660	FADJ_YERPA	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ YPA_2097	Yersinia pestis bv. Antiqua (strain Antiqua)	747
Q5HGK5	FAPR_STAAC	reviewed	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR SACOL1242	Staphylococcus aureus (strain COL)	185
A1WMX5	FABH_VEREI	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Veis_3252	Verminephrobacter eiseniae (strain EF01-2)	325
P59449	ACP_BUCBP	reviewed	Acyl carrier protein (ACP)	acpP bbp_322	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	78
A8YXR2	ACCD_LACH4	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD lhv_1924	Lactobacillus helveticus (strain DPC 4571)	280
